                                                       Access privileges
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_10004 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_10005 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_10006 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_113   | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_27    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_46    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_6001  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_6002  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_6003  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_6004  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_6005  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_6006  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201503_75    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_10001 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_10002 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_10003 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_10004 | table | arbtrucks=arwdDxt/arbtrucks+| 
